slug,candidate,filename,wikimedia_title,author,license,source_url
01-kaieteur-falls,1,01-kaieteur-falls-candidate-1.jpg,File:Kaieteur Falls Guyana (2) 2007.jpg,Bill Cameron,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls_Guyana_(2)_2007.jpg
01-kaieteur-falls,2,01-kaieteur-falls-candidate-2.jpg,File:GuyanaKaieteurFalls2004.jpg,Sorenriise at English Wikipedia,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:GuyanaKaieteurFalls2004.jpg
01-kaieteur-falls,4,01-kaieteur-falls-candidate-4.jpg,File:Kaieteur Falls in 1950.jpg,Jonathan Wilkins,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls_in_1950.jpg
01-kaieteur-falls,5,01-kaieteur-falls-candidate-5.jpg,File:Kaieteur Falls; Guyana.jpg,Kevin Gabbert - User: (WT-shared) Kevin James at wts wikivoyage,Public domain,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls,_Guyana.jpg
01-kaieteur-falls,6,01-kaieteur-falls-candidate-6.jpg,File:Kaieteur Falls; Guyana (23035888153).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls,_Guyana_(23035888153).jpg
01-kaieteur-falls,7,01-kaieteur-falls-candidate-7.jpg,File:Kaieteur Falls Aerial 01.jpg,Amanda,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls_Aerial_01.jpg
01-kaieteur-falls,8,01-kaieteur-falls-candidate-8.jpg,File:Kaieteur Falls pose longue.jpg,Petit Max,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Kaieteur_Falls_pose_longue.jpg
02-st-georges-cathedral,1,02-st-georges-cathedral-candidate-1.jpg,File:20191121 Guyana 0048 Georgetown sRGB (49295795336).jpg,Dan Lundberg,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:20191121_Guyana_0048_Georgetown_sRGB_(49295795336).jpg
02-st-georges-cathedral,2,02-st-georges-cathedral-candidate-2.jpg,File:Cathedral; Georgetown.jpg,Spiralwidget,CC0,https://commons.wikimedia.org/wiki/File:Cathedral,_Georgetown.jpg
02-st-georges-cathedral,3,02-st-georges-cathedral-candidate-3.jpg,File:St. Georges Cathedral Georgetown; Guyana.jpg,Ian Mackenzie,CC BY 2.0,https://commons.wikimedia.org/wiki/File:St._Georges_Cathedral_Georgetown,_Guyana.jpg
02-st-georges-cathedral,4,02-st-georges-cathedral-candidate-4.jpg,File:St George's Georgetown Exterior.JPG,(WT-shared) Roundtheworld 15:32; 16 November 2010 (EST),CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:St_George's_Georgetown_Exterior.JPG
02-st-georges-cathedral,5,02-st-georges-cathedral-candidate-5.jpg,File:St George's Cathedral.jpg,Johnldasilva,CC BY 3.0,https://commons.wikimedia.org/wiki/File:St_George's_Cathedral.jpg
02-st-georges-cathedral,6,02-st-georges-cathedral-candidate-6.jpg,File:St George's Anglican Cathedral (13624918594).jpg,David Stanley from Nanaimo; Canada,CC BY 2.0,https://commons.wikimedia.org/wiki/File:St_George's_Anglican_Cathedral_(13624918594).jpg
02-st-georges-cathedral,7,02-st-georges-cathedral-candidate-7.jpg,File:St. George's Cathedral - Georgetown; Guyana2.jpg,madmack66,CC BY 2.0,https://commons.wikimedia.org/wiki/File:St._George's_Cathedral_-_Georgetown,_Guyana2.jpg
02-st-georges-cathedral,8,02-st-georges-cathedral-candidate-8.jpg,File:St. George's Cathedral - Georgetown; Guyana4.jpg,madmack66,CC BY 2.0,https://commons.wikimedia.org/wiki/File:St._George's_Cathedral_-_Georgetown,_Guyana4.jpg
03-stabroek-market,1,03-stabroek-market-candidate-1.jpg,File:Stabroek.JPG,(WT-shared) Roundtheworld 15:21; 16 November 2010 (EST),CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Stabroek.JPG
03-stabroek-market,2,03-stabroek-market-candidate-2.jpg,File:British Guiana 1934 12c stamp Stabroek Market Georgetown.jpg,British Government,Public domain,https://commons.wikimedia.org/wiki/File:British_Guiana_1934_12c_stamp_Stabroek_Market_Georgetown.jpg
03-stabroek-market,4,03-stabroek-market-candidate-4.jpg,File:Stabroek Market; Georgetown.jpg,User:Loriski,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Stabroek_Market,_Georgetown.jpg
03-stabroek-market,5,03-stabroek-market-candidate-5.jpg,File:Reformed Church and Stabroek Market - Georgetown (22850460464).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Reformed_Church_and_Stabroek_Market_-_Georgetown_(22850460464).jpg
03-stabroek-market,6,03-stabroek-market-candidate-6.jpg,File:Stabroek Market.jpg,Kevin Gabbert - User: (WT-shared) Kevin James at wts wikivoyage,Public domain,https://commons.wikimedia.org/wiki/File:Stabroek_Market.jpg
03-stabroek-market,7,03-stabroek-market-candidate-7.jpg,File:Stabroek Market.JPG,User:Loriski,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Stabroek_Market.JPG
03-stabroek-market,8,03-stabroek-market-candidate-8.jpg,File:Stabroek Market Georgetown Guyana.jpg,John Cray,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Stabroek_Market_Georgetown_Guyana.jpg
04-demerara-bridge,1,04-demerara-bridge-candidate-1.jpg,File:Demerara Harbor Bridge; Retractable Section from Air - panoramio.jpg,Marco Farouk Basir,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Demerara_Harbor_Bridge,_Retractable_Section_from_Air_-_panoramio.jpg
04-demerara-bridge,2,04-demerara-bridge-candidate-2.jpg,File:Demerara Harbour bridge crossing.JPG,No machine-readable author provided. FrWaters assumed (based on copyright claims,CC BY 2.5,https://commons.wikimedia.org/wiki/File:Demerara_Harbour_bridge_crossing.JPG
04-demerara-bridge,3,04-demerara-bridge-candidate-3.jpg,File:Demerara Floating Bridge (23284900469).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Demerara_Floating_Bridge_(23284900469).jpg
04-demerara-bridge,4,04-demerara-bridge-candidate-4.jpg,File:Demerara Harbor Bridge.JPG,No machine-readable author provided. FrWaters assumed (based on copyright claims,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Demerara_Harbor_Bridge.JPG
04-demerara-bridge,5,04-demerara-bridge-candidate-5.jpg,File:Demerara Harbor Bridge 2.JPG,Unknown,Public domain,https://commons.wikimedia.org/wiki/File:Demerara_Harbor_Bridge_2.JPG
04-demerara-bridge,6,04-demerara-bridge-candidate-6.jpg,File:20191122 Guyana 0171 Georgetown sRGB (49295935467).jpg,Dan Lundberg,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:20191122_Guyana_0171_Georgetown_sRGB_(49295935467).jpg
04-demerara-bridge,7,04-demerara-bridge-candidate-7.jpg,File:Demerara Harbor Bridge 3.JPG,Unknown,Public domain,https://commons.wikimedia.org/wiki/File:Demerara_Harbor_Bridge_3.JPG
05-parliament-building,2,05-parliament-building-candidate-2.jpg,File:Guyana Parliament Building (23132292569).jpg,Dan Sloan,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Guyana_Parliament_Building_(23132292569).jpg
05-parliament-building,3,05-parliament-building-candidate-3.jpg,File:Parliament Building in Georgetown; Guyana (13571319903).jpg,David Stanley from Nanaimo; Canada,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Parliament_Building_in_Georgetown,_Guyana_(13571319903).jpg
05-parliament-building,4,05-parliament-building-candidate-4.jpg,File:Guyana Parliament Building.jpg,David Stanley,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Guyana_Parliament_Building.jpg
05-parliament-building,5,05-parliament-building-candidate-5.jpg,File:Parliament Georgetown Guyana.JPG,Kevin Gabbert - User: (WT-shared) Kevin James at wts wikivoyage,Public domain,https://commons.wikimedia.org/wiki/File:Parliament_Georgetown_Guyana.JPG
05-parliament-building,8,05-parliament-building-candidate-8.jpeg,File:Stamp of Brazil - 1960 - Colnect 189470 - Parliament buildings.jpeg,Post of Brazil,Public domain,https://commons.wikimedia.org/wiki/File:Stamp_of_Brazil_-_1960_-_Colnect_189470_-_Parliament_buildings.jpeg
